"year","country","pop","gdp"
2307,"USA",120.20854882252216,9380.059840685952
2308,"USA",120.02302040568334,9368.354823503145
2309,"USA",119.8392010070958,9356.74908761268
2310,"USA",119.65707272178054,9345.24169817419
2311,"USA",119.47661786592798,9333.83173055451
2312,"USA",119.29781897365802,9322.518270196048
2313,"USA",119.12065879383508,9311.300412487082
2314,"USA",118.94512028693724,9300.17726263406
2315,"USA",118.77118662197827,9289.14793553576
2316,"USA",118.59884117348196,9278.211555659344
2317,"USA",118.42806751850708,9267.367256918284
2318,"USA",118.25884943372272,9256.614182552054
2319,"USA",118.09117089253247,9245.951485007656
2320,"USA",117.92501606224693,9235.378325822869
2321,"USA",117.76036930130324,9224.89387551122
2322,"USA",117.59721515653128,9214.497313448694
2323,"USA",117.43553836046507,9204.187827762044
2324,"USA",117.27532382869884,9193.964615218809
2325,"USA",117.11655665728698,9183.826881118892
2326,"USA",116.95922212018684,9173.77383918776
2327,"USA",116.8033056667438,9163.804711471175
2328,"USA",116.6487929192176,9153.918728231496
2329,"USA",116.49566967034932,9144.115127845427
2330,"USA",116.34392188096814,9134.393156703334
2331,"USA",116.19353567763731,9124.752069109934
2332,"USA",116.04449735033852,9115.191127186488
2333,"USA",115.89679335019363,9105.709600774357
2334,"USA",115.75041028722391,9096.30676733998
2335,"USA",115.60533492814508,9086.981911881194
2336,"USA",115.46155419419814,9077.734326834909
2337,"USA",115.31905515901542,9068.563311986103
2338,"USA",115.17782504652058,9059.468174378128
2339,"USA",115.03785122886256,9050.448228224252
2340,"USA",114.89912122438255,9041.502794820528
2341,"USA",114.76162269561354,9032.631202459828
2342,"USA",114.62534344731158,9023.832786347162
2343,"USA",114.49027142451858,9015.106888516137
2344,"USA",114.35639471065578,9006.452857746623
2345,"USA",114.2237015256474,8997.870049483592
2346,"USA",114.09218022407396,8989.357825757073
2347,"USA",113.96181929335486,8980.915555103235
2348,"USA",113.83260735195938,8972.54261248658
2349,"USA",113.70453314764586,8964.238379223232
2350,"USA",113.5775855557285,8956.002242905279
2351,"USA",113.45175357737126,8947.83359732618
2352,"USA",113.32702633790836,8939.731842407196
2353,"USA",113.20339308519088,8931.696384124869
2354,"USA",113.08084318795918,8923.726634439461
2355,"USA",112.95936613424044,8915.82201122442
2356,"USA",112.83895152977108,8907.981938196803
2357,"USA",112.71958909644336,8900.20584484865
2358,"USA",112.60126867077614,8892.493166379316
2359,"USA",112.48398020240896,8884.843343628721
2360,"USA",112.36771375261938,8877.2558230115
2361,"USA",112.25245949286276,8869.730056452085
2362,"USA",112.13820770333469,8862.265501320631
2363,"USA",112.02494877155492,8854.861620369857
2364,"USA",111.9126731909732,8847.517881672698
2365,"USA",111.80137155959603,8840.233758560847
2366,"USA",111.69103457863432,8833.00872956408
2367,"USA",111.58165305117134,8825.842278350443
2368,"USA",111.47321788085095,8818.733893667217
2369,"USA",111.36572007058544,8811.683069282693
2370,"USA",111.25915072128277,8804.689303928713
2371,"USA",111.1535010305928,8797.752101243988
2372,"USA",111.04876229167256,8790.870969718175
2373,"USA",110.94492589196965,8784.045422636695
2374,"USA",110.8419833120236,8777.274978026284
2375,"USA",110.7399261242856,8770.559158601282
2376,"USA",110.6387459919552,8763.897491710604
2377,"USA",110.5384346678344,8757.289509285449
2378,"USA",110.4389839931987,8750.734747787668
2379,"USA",110.34038589668464,8744.232748158838
2380,"USA",110.24263239319384,8737.783055769982
2381,"USA",110.145715582813,8731.385220371967
2382,"USA",110.04962764974977,8725.038796046545
2383,"USA",109.95436086128404,8718.74334115803
2384,"USA",109.8599075667348,8712.498418305615
2385,"USA",109.7662601964416,8706.30359427631
2386,"USA",109.67341126076111,8700.15843999848
2387,"USA",109.58135334907816,8694.062530495987
2388,"USA",109.49007912883096,8688.01544484295
2389,"USA",109.3995813445504,8682.016766119057
2390,"USA",109.30985281691332,8676.066081365481
2391,"USA",109.22088644180916,8670.162981541329
2392,"USA",109.13267518942013,8664.307061480697
2393,"USA",109.04521210331446,8658.497919850242
2394,"USA",108.95849029955264,8652.735159107302
2395,"USA",108.8725029658064,8647.018385458563
2396,"USA",108.78724336049008,8641.347208819236
2397,"USA",108.70270481190444,8635.721242772774
2398,"USA",108.61888071739251,8630.140104531089
2399,"USA",108.53576454250758,8624.603414895259
2400,"USA",108.45334982019244,8619.110798216772
2401,"USA",108.3716301499707,8613.661882359222
2402,"USA",108.29059919714904,8608.25629866049
2403,"USA",108.21025069203094,8602.893681895435
2404,"USA",108.13057842914114,8597.573670239015
2405,"USA",108.05157626646113,8592.29590522989
2406,"USA",107.97323812467504,8587.060031734472
2407,"USA",107.8955579864264,8581.86569791144
2408,"USA",107.8185298955846,8576.712555176666
2409,"USA",107.74214795652212,8571.600258168612
2410,"USA",107.66640633340135,8566.528464714136
2411,"USA",107.59129924947128,8561.496835794722
2412,"USA",107.51682098637404,8556.50503551314
2413,"USA",107.44296588346069,8551.552731060505
2414,"USA",107.3697283371166,8546.639592683745
2415,"USA",107.29710280009596,8541.765293653476
2416,"USA",107.22508378086528,8536.929510232261
2417,"USA",107.15366584295596,8532.131921643264
2418,"USA",107.0828436043256,8527.372210039293
2419,"USA",107.01261173672788,8522.650060472202
2420,"USA",106.94296496509112,8517.965160862686
2421,"USA",106.87389806690504,8513.317201970429
