File Description: RCMIP SSP119 effective radiative forcing scenario from 1750-2500.,,,,,,,,,,,,,,,,,
"Code Source: Extracted using default Python model version of FAIR2.0, available at https://github.com/njleach/
FAIR/tree/47c6eec031d2edcf09424394dbb86581a1b246ba",,,,,,,,,,,,,,,,,
"Paper Reference: Leach et al. 2021. ""FaIRv2.0.0: a generalized impulse response model for climate
uncertainty and future scenario exploration,"" Geoscientific Model Development. https://doi.org/10.5194/gmd-14-3007-2021",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1833,0.115780007,0.040049384,-0.001671505,2.35E-08,0.0166,0,0.005125471,0,-0.010502286,-0.03638212,0.002926309,-0.02214929,-0.419668715,-0.075020989,0.109775993,-0.494689704,-0.384913711
1834,0.11700213,0.040606733,-0.002207461,2.38E-08,0.0168,0,0.005196799,0,-0.015624855,-0.048117482,0.003551762,-0.022645896,-0.019521352,-0.072478094,0.094561754,-0.091999446,0.002562308
1835,0.118145105,0.041083253,-0.002665499,2.42E-08,0.017,0,0.005257784,0,-0.01270359,-0.043122289,0.003473863,-0.023142501,-1.663546701,-0.039124041,0.103326149,-1.702670741,-1.599344593
1836,0.119386371,0.04125008,-0.003089713,2.45E-08,0.0172,0,0.005279134,0,-0.013785456,-0.045175163,0.003459186,-0.023639107,-1.06790945,0.019892976,0.100885357,-1.048016475,-0.947131118
1837,0.120351596,0.041256451,-0.003364663,2.48E-08,0.0174,0,0.00527995,0,-0.014140355,-0.048033288,0.003865618,-0.024135713,-0.264243292,0.063824226,0.09847962,-0.200419066,-0.101939446
1838,0.121434662,0.041148278,-0.003388447,2.52E-08,0.0176,0,0.005266106,0,-0.01646074,-0.054179514,0.004284468,-0.024632319,0.033170849,0.07564947,0.09107252,0.108820318,0.199892839
1839,0.122576461,0.041139292,-0.003415602,2.55E-08,0.0178,0,0.005264956,0,-0.015678447,-0.051480707,0.004005611,-0.025128925,0.134323464,0.061967756,0.095082664,0.19629122,0.291373884
1840,0.123974135,0.04142063,-0.003615861,2.59E-08,0.018,0,0.005300961,0,-0.016855366,-0.0529773,0.00390739,-0.025625531,0.16835846,0.039534113,0.093529085,0.207892573,0.301421658
1841,0.125646976,0.041827838,-0.003989313,2.62E-08,0.0182,0,0.005353075,0,-0.017615747,-0.057260901,0.004433493,-0.026145023,0.179793765,0.006741682,0.090450424,0.186535447,0.27698587
1842,0.126847365,0.042396704,-0.004352586,2.65E-08,0.0184,0,0.005425878,0,-0.017178769,-0.054183723,0.003967226,-0.026688925,0.183635126,-0.028110027,0.094633195,0.155525098,0.250158294
